x	y	mean_x	mean_y	log2FC	gene
scdrs_N	scdrs_T	0.0033333334	0.0	-inf	1_18388514_18480982
scdrs_N	scdrs_T	0.006666667	0.016666668	1.321928	1_18486126_18631006
scdrs_N	scdrs_T	0.0	0.0	0.0	1_18748866_18839599
scdrs_N	scdrs_T	0.028333334	0.013333334	-1.0874628	1_18956686_19074506
scdrs_N	scdrs_T	0.0033333334	0.0033333334	0.0	1_19210276_19210501
scdrs_N	scdrs_T	0.5	0.45666668	-0.13078657	1_19260128_19282558
scdrs_N	scdrs_T	0.07333333	0.06333333	-0.2115041	1_19289250_19303965
scdrs_N	scdrs_T	0.005	0.0	-inf	1_19312146_19312326
scdrs_N	scdrs_T	0.045	0.065	0.5305146	1_19329300_19338776
scdrs_N	scdrs_T	0.021666666	0.03	0.46948534	1_19485539_19591802
scdrs_N	scdrs_T	0.008333334	0.0016666667	-2.3219283	1_19596832_19596977
scdrs_N	scdrs_T	0.0016666667	0.0033333334	1.0	1_19658456_19665287
scdrs_N	scdrs_T	0.0033333334	0.0016666667	-1.0	1_19679562_19682213
scdrs_N	scdrs_T	0.006666667	0.0033333334	-1.0	1_19799945_19814029
scdrs_N	scdrs_T	0.006666667	0.006666667	0.0	1_19819502_19882513
scdrs_N	scdrs_T	0.0	0.0	0.0	1_19912945_19920009
scdrs_N	scdrs_T	0.01	0.008333334	-0.26303434	1_19923617_19975431
scdrs_N	scdrs_T	0.006666667	0.0	-inf	1_19980416_20028179
scdrs_N	scdrs_T	0.0016666667	0.0033333334	1.0	1_20091190_20111939
scdrs_N	scdrs_T	0.0016666667	0.013333334	3.0	1_20119566_20139326
scdrs_N	scdrs_T	0.005	0.0016666667	-1.5849625	1_20150386_20154338
scdrs_N	scdrs_T	0.0	0.0	0.0	1_20160568_20161253
scdrs_N	scdrs_T	0.0	0.0	0.0	1_20177424_20184242
scdrs_N	scdrs_T	0.006666667	0.005	-0.4150376	1_20196048_20243095
scdrs_N	scdrs_T	0.0	0.0	0.0	1_20244655_20272018
scdrs_N	scdrs_T	0.0	0.0	0.0	1_20275005_20290919
scdrs_N	scdrs_T	0.0	0.0	0.0	1_20354894_20360579
scdrs_N	scdrs_T	0.006666667	0.0033333334	-1.0	1_20431234_20476222
scdrs_N	scdrs_T	0.018333333	0.011666667	-0.6520766	1_20480397_20482391
scdrs_N	scdrs_T	0.011666667	0.01	-0.2223925	1_20486220_20499448
scdrs_N	scdrs_T	0.01	0.013333334	0.41503757	1_20508161_20552439
scdrs_N	scdrs_T	0.0	0.005	inf	1_20555010_20588948
scdrs_N	scdrs_T	0.008333334	0.01	0.2630343	1_20618908_20633455
scdrs_N	scdrs_T	0.01	0.008333334	-0.26303434	1_20661544_20664014
scdrs_N	scdrs_T	0.006666667	0.005	-0.4150376	1_20718017_20719732
scdrs_N	scdrs_T	0.0	0.0016666667	inf	1_20732837_20732880
scdrs_N	scdrs_T	0.011666667	0.0033333334	-1.8073548	1_20733952_20742661
scdrs_N	scdrs_T	0.008333334	0.0016666667	-2.3219283	1_20787323_20806292
scdrs_N	scdrs_T	0.01	0.008333334	-0.26303434	1_21176888_21217247
scdrs_N	scdrs_T	0.011666667	0.006666667	-0.80735487	1_21345504_21415898
scdrs_N	scdrs_T	0.13833334	0.13	-0.08963724	1_21417492_21440128
scdrs_N	scdrs_T	0.011666667	0.015	0.36257005	1_21485005_21509372
scdrs_N	scdrs_T	0.005	0.011666667	1.2223926	1_21578412_21586472
scdrs_N	scdrs_T	0.0	0.0016666667	inf	1_21591187_21596215
scdrs_N	scdrs_T	0.006666667	0.006666667	0.0	1_21669363_21678298
scdrs_N	scdrs_T	0.005	0.013333334	1.4150375	1_21783606_21812265
scdrs_N	scdrs_T	0.006666667	0.005	-0.4150376	1_21937297_21977021
scdrs_N	scdrs_T	0.0	0.0	0.0	1_21998642_22001656
scdrs_N	scdrs_T	0.0	0.0	0.0	1_22012539_22023990
scdrs_N	scdrs_T	0.055	0.033333335	-0.722466	1_22026048_22052627
scdrs_N	scdrs_T	0.015	0.015	0.0	1_22092946_22100613
scdrs_N	scdrs_T	0.005	0.006666667	0.41503757	1_22101360_22117305
scdrs_N	scdrs_T	0.015	0.013333334	-0.1699249	1_22143969_22451851
scdrs_N	scdrs_T	0.0	0.0	0.0	1_22531157_22563564
scdrs_N	scdrs_T	0.0	0.0	0.0	1_22603594_22636506
scdrs_N	scdrs_T	0.008333334	0.005	-0.73696566	1_22639608_22643630
scdrs_N	scdrs_T	0.01	0.005	-1.0	1_22648110_22652762
scdrs_N	scdrs_T	0.11666667	0.14333333	0.29698172	1_22661538_22710839
scdrs_N	scdrs_T	0.006666667	0.0033333334	-1.0	1_22921500_22953043
scdrs_N	scdrs_T	0.018333333	0.015	-0.2895066	1_22965338_23010834
scdrs_N	scdrs_T	0.013333334	0.0016666667	-3.0	1_23015850_23019443
scdrs_N	scdrs_T	0.033333335	0.01	-1.7369657	1_23177808_23191895
scdrs_N	scdrs_T	0.036666665	0.035	-0.06711413	1_23194729_23281309
scdrs_N	scdrs_T	0.015	0.01	-0.5849624	1_23286752_23297797
scdrs_N	scdrs_T	0.006666667	0.0016666667	-2.0	1_23302866_23303771
scdrs_N	scdrs_T	0.025	0.011666667	-1.0995357	1_23344336_23359448
scdrs_N	scdrs_T	0.005	0.005	0.0	1_23371839_23378380
scdrs_N	scdrs_T	0.015	0.021666666	0.53051466	1_23379029_23381061
scdrs_N	scdrs_T	0.006666667	0.005	-0.4150376	1_23424740_23428563
