group	feature	mean	var	cv	zero_prop
scdrs_N	1_20482391_20486220	0.47	0.52909845	1.5476416	0.6466666666666666
scdrs_N	1_20499448_20508161	0.093333334	0.104623094	3.4655888	0.9166666666666666
scdrs_N	1_20552439_20555010	0.0016666667	0.0016639096	24.474627	0.9983333333333333
scdrs_N	1_20588948_20618908	0.35833332	0.3965978	1.7574701	0.7033333333333334
scdrs_N	1_20633455_20661544	0.98833334	1.0815301	1.0522425	0.3983333333333333
scdrs_N	1_20664014_20718017	0.036666665	0.03865575	5.362109	0.965
scdrs_N	1_20719732_20732837	0.0033333334	0.0033221992	17.291555	0.9966666666666667
scdrs_N	1_20732880_20733952	0.0016666667	0.0016638971	24.474533	0.9983333333333333
scdrs_N	1_20742661_20787323	0.45666668	0.48478863	1.5246737	0.645
scdrs_N	1_20806292_21176888	0.27	0.28043407	1.9613342	0.7683333333333333
scdrs_N	1_21217247_21345504	0.23	0.24710062	2.1612701	0.8033333333333333
scdrs_N	1_21415898_21417492	0.0033333334	0.003322206	17.291574	0.9966666666666667
scdrs_N	1_21440128_21485005	0.038333334	0.03686375	5.0086784	0.9616666666666667
scdrs_N	1_21509372_21578412	0.39666668	0.3759903	1.5458331	0.6683333333333333
scdrs_N	1_21586472_21591187	0.0033333334	0.0033221992	17.291555	0.9966666666666667
scdrs_N	1_21596215_21669363	0.043333333	0.04478849	4.8838367	0.9583333333333334
scdrs_N	1_21678298_21783606	0.15166667	0.15866388	2.6263275	0.8633333333333333
scdrs_N	1_21812265_21937297	0.62333333	0.6881233	1.3307999	0.5616666666666666
scdrs_N	1_21977021_21998642	0.005	0.0049750134	14.106755	0.995
scdrs_N	1_22001656_22012539	0.0	0.0	0.0	1.0
scdrs_N	1_22023990_22026048	0.0	0.0	0.0	1.0
scdrs_N	1_22052627_22092946	0.54833335	0.6076643	1.421632	0.5933333333333334
scdrs_N	1_22100613_22101360	0.005	0.004975028	14.106776	0.995
scdrs_N	1_22117305_22143969	0.02	0.019599874	6.999978	0.98
scdrs_N	1_22451851_22531157	0.021666666	0.021197071	6.7196374	0.9783333333333334
scdrs_N	1_22563564_22603594	0.0016666667	0.0016638982	24.474543	0.9983333333333333
