feature	cs_N	rs_N	cs_T	rs_T
NFKB2	0.175	0.175	0.14833333333333334	0.14833333333333334
PSD	0.025	0.025	0.025	0.025
FBXL15	0.26	0.26	0.2683333333333333	0.2683333333333333
CUEDC2	0.26666666666666666	0.26666666666666666	0.2916666666666667	0.2916666666666667
C10orf95	0.0	0.0	0.0	0.0
MFSD13A	0.03833333333333333	0.03833333333333333	0.028333333333333332	0.028333333333333332
ACTR1A	0.2633333333333333	0.2633333333333333	0.33	0.33
AL121928.1	0.0	0.0	0.0	0.0
SUFU	0.07666666666666666	0.07666666666666666	0.07	0.07
TRIM8	0.3233333333333333	0.3233333333333333	0.31333333333333335	0.31333333333333335
AL391121.1	0.011666666666666667	0.011666666666666667	0.01	0.01
ARL3	0.085	0.085	0.05	0.05
SFXN2	0.19333333333333333	0.19333333333333333	0.225	0.225
WBP1L	0.295	0.295	0.2733333333333333	0.2733333333333333
CYP17A1	0.04666666666666667	0.04666666666666667	0.058333333333333334	0.058333333333333334
CYP17A1-AS1	0.008333333333333333	0.008333333333333333	0.008333333333333333	0.008333333333333333
AL358790.1	0.0	0.0	0.0	0.0
BORCS7	0.685	0.685	0.6883333333333334	0.6883333333333334
BORCS7-ASMT	0.0	0.0	0.0	0.0
AS3MT	0.0	0.0	0.0	0.0
AL356608.1	0.0	0.0	0.0	0.0
CNNM2	0.08	0.08	0.08666666666666667	0.08666666666666667
NT5C2	0.11166666666666666	0.11166666666666666	0.09333333333333334	0.09333333333333334
RPEL1	0.0	0.0	0.0	0.0
INA	0.0	0.0	0.0	0.0
PCGF6	0.08333333333333333	0.08333333333333333	0.10666666666666667	0.10666666666666667
TAF5	0.03333333333333333	0.03333333333333333	0.03833333333333333	0.03833333333333333
ATP5MD	2.7583333333333333	2.7583333333333333	2.64	2.64
PDCD11	0.10666666666666667	0.10666666666666667	0.115	0.115
CALHM2	0.018333333333333333	0.018333333333333333	0.013333333333333334	0.013333333333333334
AL139339.2	0.0	0.0	0.0	0.0
AL139339.1	0.0	0.0	0.0	0.0
CALHM1	0.0	0.0	0.0	0.0
CALHM3	0.0	0.0	0.0	0.0
NEURL1-AS1	0.0	0.0	0.0	0.0
NEURL1	0.0	0.0	0.0	0.0
SH3PXD2A	0.14333333333333334	0.14333333333333334	0.13666666666666666	0.13666666666666666
AL121929.2	0.0	0.0	0.0	0.0
SH3PXD2A-AS1	0.0	0.0	0.0	0.0
STN1	0.02666666666666667	0.02666666666666667	0.06	0.06
SLK	0.30333333333333334	0.30333333333333334	0.325	0.325
COL17A1	0.0	0.0	0.0	0.0
SFR1	0.006666666666666667	0.006666666666666667	0.0033333333333333335	0.0033333333333333335
CFAP43	0.0	0.0	0.0	0.0
GSTO1	3.2683333333333335	3.2683333333333335	3.26	3.26
GSTO2	0.043333333333333335	0.043333333333333335	0.035	0.035
ITPRIP	0.10833333333333334	0.10833333333333334	0.09166666666666666	0.09166666666666666
AL162742.2	0.0	0.0	0.0	0.0
AL162742.1	0.0	0.0	0.0	0.0
CFAP58-DT	0.0	0.0	0.0	0.0
CFAP58	0.0	0.0	0.0	0.0
AL161646.1	0.0	0.0	0.0	0.0
AL161646.2	0.0	0.0	0.0	0.0
SORCS3	0.0	0.0	0.0	0.0
SORCS3-AS1	0.0	0.0	0.0	0.0
AL731574.1	0.0	0.0	0.0	0.0
AL353148.1	0.0	0.0	0.0	0.0
SORCS1	0.0	0.0	0.0	0.0
LINC01435	0.0	0.0	0.0	0.0
AL353740.1	0.0	0.0	0.0	0.0
AL356476.1	0.0	0.0	0.0	0.0
XPNPEP1	0.13666666666666666	0.13666666666666666	0.12666666666666668	0.12666666666666668
ADD3	0.19	0.19	0.19	0.19
MXI1	0.15666666666666668	0.15666666666666668	0.17333333333333334	0.17333333333333334
AL360182.2	0.0	0.0	0.0	0.0
SMNDC1	0.16333333333333333	0.16333333333333333	0.15333333333333332	0.15333333333333332
AL355512.1	0.006666666666666667	0.006666666666666667	0.006666666666666667	0.006666666666666667
DUSP5	0.2866666666666667	0.2866666666666667	0.23333333333333334	0.23333333333333334
SMC3	0.09333333333333334	0.09333333333333334	0.11666666666666667	0.11666666666666667
RBM20	0.01	0.01	0.01	0.01
AL136368.1	0.0	0.0	0.0	0.0
PDCD4-AS1	0.018333333333333333	0.018333333333333333	0.0033333333333333335	0.0033333333333333335
PDCD4	0.39666666666666667	0.39666666666666667	0.4216666666666667	0.4216666666666667
BBIP1	0.135	0.135	0.13	0.13
AL158163.2	0.0	0.0	0.0	0.0
AL158163.1	0.01	0.01	0.008333333333333333	0.008333333333333333
SHOC2	0.23833333333333334	0.23833333333333334	0.21	0.21
ADRA2A	0.021666666666666667	0.021666666666666667	0.013333333333333334	0.013333333333333334
AC021035.1	0.0	0.0	0.0	0.0
GPAM	2.9233333333333333	2.9233333333333333	2.7316666666666665	2.7316666666666665
TECTB	0.0	0.0	0.0	0.0
ACSL5	0.6583333333333333	0.6583333333333333	0.5766666666666667	0.5766666666666667
AL157786.1	0.0	0.0	0.0	0.0
ZDHHC6	0.21833333333333332	0.21833333333333332	0.18833333333333332	0.18833333333333332
VTI1A	0.051666666666666666	0.051666666666666666	0.03833333333333333	0.03833333333333333
AL139120.1	0.0	0.0	0.0	0.0
TCF7L2	0.25166666666666665	0.25166666666666665	0.235	0.235
AL158212.2	0.0	0.0	0.0	0.0
HABP2	3.401666666666667	3.401666666666667	3.285	3.285
NRAP	0.0	0.0	0.0	0.0
CASP7	0.20333333333333334	0.20333333333333334	0.18	0.18
AL592546.1	0.0	0.0	0.0	0.0
PLEKHS1	0.0	0.0	0.0	0.0
DCLRE1A	0.04833333333333333	0.04833333333333333	0.03833333333333333	0.03833333333333333
NHLRC2	0.285	0.285	0.2816666666666667	0.2816666666666667
ADRB1	0.0	0.0	0.0	0.0
CCDC186	0.15	0.15	0.14	0.14
TDRD1	0.0	0.0	0.0	0.0
VWA2	0.0	0.0	0.0	0.0
AC005383.1	0.0	0.0	0.0	0.0
AFAP1L2	0.018333333333333333	0.018333333333333333	0.03	0.03
ABLIM1	0.25166666666666665	0.25166666666666665	0.225	0.225
AL137025.1	0.0	0.0	0.0	0.0
FAM160B1	0.275	0.275	0.23833333333333334	0.23833333333333334
TRUB1	0.135	0.135	0.13333333333333333	0.13333333333333333
AL355340.1	0.0	0.0	0.0	0.0
ATRNL1	0.035	0.035	0.051666666666666666	0.051666666666666666
GFRA1	0.45666666666666667	0.45666666666666667	0.535	0.535
CCDC172	0.0	0.0	0.0	0.0
PNLIPRP3	0.0	0.0	0.0	0.0
PNLIP	0.0	0.0	0.0	0.0
PNLIPRP1	0.0	0.0	0.0	0.0
C10orf82	0.0	0.0	0.0	0.0
AC016825.1	0.0	0.0	0.0	0.0
HSPA12A	0.043333333333333335	0.043333333333333335	0.02	0.02
ENO4	0.0	0.0	0.0	0.0
SHTN1	0.355	0.355	0.2916666666666667	0.2916666666666667
